model,model_label,shots,n_samples,accuracy,macro_f1,weighted_f1,kappa,macro_precision,macro_recall,f1_positive,precision_positive,recall_positive,f1_negative,precision_negative,recall_negative,f1_neutral,precision_neutral,recall_neutral
gemini,Test Model,5,19,0.7895,0.763,0.7789,0.6724,0.7685,0.7963,0.8889,0.8889,0.8889,0.6,0.75,0.5,0.8,0.6667,1.0
gpt4o,Test Model,5,23,0.6957,0.6786,0.6964,0.536,0.6917,0.6759,0.6667,0.6,0.75,0.8235,0.875,0.7778,0.5455,0.6,0.5
claude,Test Model,5,18,0.8889,0.8825,0.8868,0.8269,0.875,0.9167,0.8571,1.0,0.75,0.8571,0.75,1.0,0.9333,0.875,1.0
